2025-09-05 16:50:26,923 | DEBUG | MainThread | setup_logging:72 - Logger initialized. Log file: logs\app.log
2025-09-05 16:51:47,938 | DEBUG | scanner | fetch_missing:196 - fetch_missing(limit=500) -> 0 rows
2025-09-05 16:51:48,128 | DEBUG | scanner | missing_scanner:519 - Scanner: no missing rows.
2025-09-05 16:51:50,384 | DEBUG | pg-listener | pg_listener:487 - listener heartbeat…
2025-09-05 16:58:29,241 | DEBUG | MainThread | setup_logging:74 - Logger initialized. Log file: logs\app.log
2025-09-05 16:58:29,242 | INFO | MainThread | <module>:84 - Booting app | region=ap-south-1 | table=public."myApp_meetingtranscript"
2025-09-05 16:58:29,242 | INFO | MainThread | <module>:85 - DB host=meet-assistant-dev.croq4ek60yvo.eu-north-1.rds.amazonaws.com db=meetassistantdev user=postgres
2025-09-05 16:58:29,399 | DEBUG | MainThread | <module>:94 - Bedrock client ready for model_id=meta.llama3-70b-instruct-v1:0
2025-09-05 16:58:29,400 | DEBUG | MainThread | db_conn:142 - Opening DB connection …
2025-09-05 16:58:31,454 | DEBUG | MainThread | db_conn:151 - DB connection established.
2025-09-05 16:58:31,989 | INFO | MainThread | ensure_trigger:177 - Trigger ensured on channel 'meeting_transcript_insert'.
2025-09-05 16:58:31,991 | DEBUG | pg-listener | db_conn:142 - Opening DB connection …
2025-09-05 16:58:31,991 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:58:33,226 | DEBUG | pg-listener | db_conn:151 - DB connection established.
2025-09-05 16:58:33,232 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:58:33,402 | INFO | pg-listener | pg_listener:529 - LISTEN on channel: meeting_transcript_insert
2025-09-05 16:58:33,579 | DEBUG | scanner | fetch_missing:231 - fetch_missing(limit=500) -> 2 rows
2025-09-05 16:58:33,752 | INFO | scanner | missing_scanner:552 - Startup backfill: 2 rows with missing fields
2025-09-05 16:58:33,753 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:58:35,577 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:58:35,932 | DEBUG | scanner | fetch_row_by_id:197 - fetch_row_by_id(14) -> found
2025-09-05 16:58:36,111 | INFO | scanner | process_row:499 - Row 14 | meetingid=ngp-futp-zwq | need_summary=False need_items=True
2025-09-05 16:58:36,111 | DEBUG | scanner | flatten_transcription:405 - flatten_transcription: produced 517 chars, 7 lines
2025-09-05 16:58:36,111 | DEBUG | scanner | process_row:506 - Row 14 transcript chars=517 preview=Yeah. Sahil and everyone, let's start. Conversation. Okay. Hi, Venjilesh. How are you? Yeah. I feel good. Yeah. I think today, we have the demo demo call at 04:30PM. Think everything is looking fine, and we can go ahead for the demo. Yeah, Deom. You can, continue with your words. Okay. Okay. So I th…
2025-09-05 16:58:36,111 | DEBUG | scanner | summarize_transcript:417 - summarize_transcript: total chars=517
2025-09-05 16:58:36,112 | DEBUG | scanner | summarize_transcript:421 - Single-shot summarization path.
2025-09-05 16:58:38,415 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:58:38,552 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 2440 ms. Body preview={"generation":"{\n  \"summary_md\": \"The meeting started with a conversation between Sahil and Venjilesh. They discussed the demo call scheduled for 04:30PM and its importance in showcasing the in-house project to the founder. The demo was deemed crucial, and the team decided to focus on completing…
2025-09-05 16:58:38,553 | INFO | scanner | summarize_transcript:449 - Rewriting summary to meet bounds (sent=3, para=1).
2025-09-05 16:58:39,691 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 1138 ms. Body preview={"generation":"The meeting commenced with a conversation between Sahil and Venjilesh, during which they discussed the upcoming demo call scheduled for 4:30 PM. The significance of this call was emphasized, as it would provide an opportunity to showcase the in-house project to the founder. Given the …
2025-09-05 16:58:39,692 | DEBUG | scanner | summarize_transcript:454 - Rewrite preview=The meeting commenced with a conversation between Sahil and Venjilesh, during which they discussed the upcoming demo call scheduled for 4:30 PM. The significance of this call was emphasized, as it would provide an opportunity to showcase the in-house project to the founder. Given the importance of t…
2025-09-05 16:58:39,692 | DEBUG | scanner | summarize_transcript:460 - Final summary len=369, action_items=1
2025-09-05 16:58:39,693 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:58:43,419 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:58:44,915 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:58:45,429 | INFO | scanner | update_row_partial:255 - Row 14 updated. summary=False action_items=True
2025-09-05 16:58:45,430 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:58:46,635 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:58:47,381 | DEBUG | scanner | fetch_row_by_id:197 - fetch_row_by_id(12) -> found
2025-09-05 16:58:47,548 | INFO | scanner | process_row:499 - Row 12 | meetingid=ngp-futp-zwq | need_summary=False need_items=True
2025-09-05 16:58:47,548 | DEBUG | scanner | flatten_transcription:405 - flatten_transcription: produced 99 chars, 1 lines
2025-09-05 16:58:47,549 | DEBUG | scanner | process_row:506 - Row 12 transcript chars=99 preview=Let's see it will work here or not. Will my issue be persistent? My belt is not working or working.
2025-09-05 16:58:47,549 | DEBUG | scanner | summarize_transcript:417 - summarize_transcript: total chars=99
2025-09-05 16:58:47,549 | DEBUG | scanner | summarize_transcript:421 - Single-shot summarization path.
2025-09-05 16:58:48,260 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 711 ms. Body preview={"generation":"{\n  \"summary_md\": \"The meeting started with a test to see if the issue would persist. The participant mentioned that their belt was not working or working.\",\n  \"action_items\": []\n}","prompt_token_count":337,"generation_token_count":41,"stop_reason":"stop"}
2025-09-05 16:58:48,261 | INFO | scanner | summarize_transcript:449 - Rewriting summary to meet bounds (sent=2, para=1).
2025-09-05 16:58:48,425 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:58:49,269 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 1008 ms. Body preview={"generation":"The meeting commenced with a test to assess whether the issue at hand would persist. At the outset, one of the participants brought to attention that their belt was malfunctioning, stating that it was either not working or working intermittently. This initial test was designed to gaug…
2025-09-05 16:58:49,271 | DEBUG | scanner | summarize_transcript:454 - Rewrite preview=The meeting commenced with a test to assess whether the issue at hand would persist. At the outset, one of the participants brought to attention that their belt was malfunctioning, stating that it was either not working or working intermittently. This initial test was designed to gauge the scope of …
2025-09-05 16:58:49,271 | DEBUG | scanner | summarize_transcript:460 - Final summary len=342, action_items=0
2025-09-05 16:58:49,271 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:58:50,483 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:58:51,001 | INFO | scanner | update_row_partial:255 - Row 12 updated. summary=False action_items=True
2025-09-05 16:58:51,001 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:58:52,237 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:58:52,581 | DEBUG | scanner | fetch_missing:231 - fetch_missing(limit=500) -> 1 rows
2025-09-05 16:58:52,754 | INFO | scanner | missing_scanner:561 - Scanner found 1 rows with missing fields
2025-09-05 16:58:52,754 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:58:53,427 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:58:55,581 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:58:55,924 | DEBUG | scanner | fetch_row_by_id:197 - fetch_row_by_id(12) -> found
2025-09-05 16:58:56,094 | INFO | scanner | process_row:499 - Row 12 | meetingid=ngp-futp-zwq | need_summary=False need_items=True
2025-09-05 16:58:56,095 | DEBUG | scanner | flatten_transcription:405 - flatten_transcription: produced 99 chars, 1 lines
2025-09-05 16:58:56,095 | DEBUG | scanner | process_row:506 - Row 12 transcript chars=99 preview=Let's see it will work here or not. Will my issue be persistent? My belt is not working or working.
2025-09-05 16:58:56,095 | DEBUG | scanner | summarize_transcript:417 - summarize_transcript: total chars=99
2025-09-05 16:58:56,095 | DEBUG | scanner | summarize_transcript:421 - Single-shot summarization path.
2025-09-05 16:58:56,814 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 716 ms. Body preview={"generation":"{\n  \"summary_md\": \"The meeting started with a test to see if the issue would persist. The speaker mentioned that their belt was not working or working.\",\n  \"action_items\": []\n}","prompt_token_count":337,"generation_token_count":41,"stop_reason":"stop"}
2025-09-05 16:58:56,814 | INFO | scanner | summarize_transcript:449 - Rewriting summary to meet bounds (sent=2, para=1).
2025-09-05 16:58:57,876 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 1061 ms. Body preview={"generation":"The meeting commenced with a test to assess whether the issue at hand would persist. At the outset, the speaker brought up the fact that their belt was not functioning properly, or at least, not functioning as intended. This initial discussion set the tone for the rest of the meeting,…
2025-09-05 16:58:57,878 | DEBUG | scanner | summarize_transcript:454 - Rewrite preview=The meeting commenced with a test to assess whether the issue at hand would persist. At the outset, the speaker brought up the fact that their belt was not functioning properly, or at least, not functioning as intended. This initial discussion set the tone for the rest of the meeting, which would de…
2025-09-05 16:58:57,878 | DEBUG | scanner | summarize_transcript:460 - Final summary len=352, action_items=0
2025-09-05 16:58:57,878 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:58:58,436 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:58:59,117 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:58:59,631 | INFO | scanner | update_row_partial:255 - Row 12 updated. summary=False action_items=True
2025-09-05 16:59:03,449 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:59:04,648 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:59:05,919 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:59:06,282 | DEBUG | scanner | fetch_missing:231 - fetch_missing(limit=500) -> 1 rows
2025-09-05 16:59:06,465 | INFO | scanner | missing_scanner:561 - Scanner found 1 rows with missing fields
2025-09-05 16:59:06,466 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:59:07,688 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:59:08,031 | DEBUG | scanner | fetch_row_by_id:197 - fetch_row_by_id(12) -> found
2025-09-05 16:59:08,202 | INFO | scanner | process_row:499 - Row 12 | meetingid=ngp-futp-zwq | need_summary=False need_items=True
2025-09-05 16:59:08,203 | DEBUG | scanner | flatten_transcription:405 - flatten_transcription: produced 99 chars, 1 lines
2025-09-05 16:59:08,203 | DEBUG | scanner | process_row:506 - Row 12 transcript chars=99 preview=Let's see it will work here or not. Will my issue be persistent? My belt is not working or working.
2025-09-05 16:59:08,204 | DEBUG | scanner | summarize_transcript:417 - summarize_transcript: total chars=99
2025-09-05 16:59:08,204 | DEBUG | scanner | summarize_transcript:421 - Single-shot summarization path.
2025-09-05 16:59:08,457 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:59:08,876 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 671 ms. Body preview={"generation":"{\n  \"summary_md\": \"The meeting participant expressed uncertainty about whether their issue would persist and mentioned that their belt was not working or working.\",\n  \"action_items\": []\n}","prompt_token_count":337,"generation_token_count":37,"stop_reason":"stop"}
2025-09-05 16:59:08,877 | INFO | scanner | summarize_transcript:449 - Rewriting summary to meet bounds (sent=1, para=1).
2025-09-05 16:59:09,874 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 996 ms. Body preview={"generation":"During the meeting, a participant expressed uncertainty about the persistence of their issue. They mentioned that their belt was not functioning properly, stating that it was either not working at all or not working as intended. This lack of clarity surrounding the belt's operation ad…
2025-09-05 16:59:09,874 | DEBUG | scanner | summarize_transcript:454 - Rewrite preview=During the meeting, a participant expressed uncertainty about the persistence of their issue. They mentioned that their belt was not functioning properly, stating that it was either not working at all or not working as intended. This lack of clarity surrounding the belt's operation added to the part…
2025-09-05 16:59:09,876 | DEBUG | scanner | summarize_transcript:460 - Final summary len=359, action_items=0
2025-09-05 16:59:09,876 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:59:11,091 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:59:11,599 | INFO | scanner | update_row_partial:255 - Row 12 updated. summary=False action_items=True
2025-09-05 16:59:13,462 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:59:16,611 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:59:17,881 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:59:18,230 | DEBUG | scanner | fetch_missing:231 - fetch_missing(limit=500) -> 1 rows
2025-09-05 16:59:18,403 | INFO | scanner | missing_scanner:561 - Scanner found 1 rows with missing fields
2025-09-05 16:59:18,404 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:59:18,465 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:59:20,056 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:59:20,378 | DEBUG | scanner | fetch_row_by_id:197 - fetch_row_by_id(12) -> found
2025-09-05 16:59:20,539 | INFO | scanner | process_row:499 - Row 12 | meetingid=ngp-futp-zwq | need_summary=False need_items=True
2025-09-05 16:59:20,539 | DEBUG | scanner | flatten_transcription:405 - flatten_transcription: produced 99 chars, 1 lines
2025-09-05 16:59:20,540 | DEBUG | scanner | process_row:506 - Row 12 transcript chars=99 preview=Let's see it will work here or not. Will my issue be persistent? My belt is not working or working.
2025-09-05 16:59:20,540 | DEBUG | scanner | summarize_transcript:417 - summarize_transcript: total chars=99
2025-09-05 16:59:20,541 | DEBUG | scanner | summarize_transcript:421 - Single-shot summarization path.
2025-09-05 16:59:21,226 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 685 ms. Body preview={"generation":"{\n  \"summary_md\": \"The speaker is testing to see if their issue will persist and if their belt is working or not.\",\n  \"action_items\": []\n}","prompt_token_count":337,"generation_token_count":35,"stop_reason":"stop"}
2025-09-05 16:59:21,227 | INFO | scanner | summarize_transcript:449 - Rewriting summary to meet bounds (sent=1, para=1).
2025-09-05 16:59:22,258 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 1031 ms. Body preview={"generation":"The speaker has initiated a test to determine if a persistent issue will continue to occur. The primary objective of this test is to assess the functionality of their belt, specifically to verify whether it is working as intended or not. By conducting this test, the speaker aims to ga…
2025-09-05 16:59:22,259 | DEBUG | scanner | summarize_transcript:454 - Rewrite preview=The speaker has initiated a test to determine if a persistent issue will continue to occur. The primary objective of this test is to assess the functionality of their belt, specifically to verify whether it is working as intended or not. By conducting this test, the speaker aims to gather more infor…
2025-09-05 16:59:22,259 | DEBUG | scanner | summarize_transcript:460 - Final summary len=365, action_items=0
2025-09-05 16:59:22,259 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:59:23,476 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:59:23,569 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:59:24,529 | INFO | scanner | update_row_partial:255 - Row 12 updated. summary=False action_items=True
2025-09-05 16:59:28,489 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:59:29,534 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:59:30,739 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:59:31,073 | DEBUG | scanner | fetch_missing:231 - fetch_missing(limit=500) -> 1 rows
2025-09-05 16:59:31,239 | INFO | scanner | missing_scanner:561 - Scanner found 1 rows with missing fields
2025-09-05 16:59:31,240 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:59:32,400 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:59:32,729 | DEBUG | scanner | fetch_row_by_id:197 - fetch_row_by_id(12) -> found
2025-09-05 16:59:32,894 | INFO | scanner | process_row:499 - Row 12 | meetingid=ngp-futp-zwq | need_summary=False need_items=True
2025-09-05 16:59:32,900 | DEBUG | scanner | flatten_transcription:405 - flatten_transcription: produced 99 chars, 1 lines
2025-09-05 16:59:32,902 | DEBUG | scanner | process_row:506 - Row 12 transcript chars=99 preview=Let's see it will work here or not. Will my issue be persistent? My belt is not working or working.
2025-09-05 16:59:32,903 | DEBUG | scanner | summarize_transcript:417 - summarize_transcript: total chars=99
2025-09-05 16:59:32,904 | DEBUG | scanner | summarize_transcript:421 - Single-shot summarization path.
2025-09-05 16:59:33,499 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:59:33,604 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 699 ms. Body preview={"generation":"{\n  \"summary_md\": \"The speaker is testing to see if their issue will persist and is experiencing problems with their belt, which is not working properly.\",\n  \"action_items\": []\n}","prompt_token_count":337,"generation_token_count":40,"stop_reason":"stop"}
2025-09-05 16:59:33,605 | INFO | scanner | summarize_transcript:449 - Rewriting summary to meet bounds (sent=1, para=1).
2025-09-05 16:59:34,952 | DEBUG | scanner | bedrock_invoke:359 - Bedrock invoke ok in 1346 ms. Body preview={"generation":"The speaker is currently in the process of testing to determine if a particular issue will persist. During this testing, they are encountering a separate problem with their belt, which is malfunctioning. The belt's improper function is causing difficulties for the speaker, who is atte…
2025-09-05 16:59:34,953 | DEBUG | scanner | summarize_transcript:454 - Rewrite preview=The speaker is currently in the process of testing to determine if a particular issue will persist. During this testing, they are encountering a separate problem with their belt, which is malfunctioning. The belt's improper function is causing difficulties for the speaker, who is attempting to troub…
2025-09-05 16:59:34,953 | DEBUG | scanner | summarize_transcript:460 - Final summary len=464, action_items=0
2025-09-05 16:59:34,953 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:59:36,225 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:59:36,743 | INFO | scanner | update_row_partial:255 - Row 12 updated. summary=False action_items=True
2025-09-05 16:59:38,504 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:59:41,751 | DEBUG | scanner | db_conn:142 - Opening DB connection …
2025-09-05 16:59:43,048 | DEBUG | scanner | db_conn:151 - DB connection established.
2025-09-05 16:59:43,409 | DEBUG | scanner | fetch_missing:231 - fetch_missing(limit=500) -> 1 rows
2025-09-05 16:59:43,506 | DEBUG | pg-listener | pg_listener:533 - listener heartbeat…
2025-09-05 16:59:43,587 | INFO | scanner | missing_scanner:561 - Scanner found 1 rows with missing fields
2025-09-05 16:59:43,588 | DEBUG | scanner | db_conn:142 - Opening DB connection …
